"variable","domain","source_test","data_type","pca_included","endpoint_model","battery_comparison","notes"
"dist_total","NTT locomotion","NTT","continuous","yes","yes","yes_if_comparable","total distance traveled"
"mov_total","NTT locomotion","NTT","continuous derived","yes","yes_if_justified","yes_if_comparable","total movement time; can overlap with distance and velocity"
"vel_mean","NTT locomotion","NTT","continuous derived","yes","yes_if_justified","yes_if_comparable","mean locomotor intensity; no primary/secondary label used"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","yes","yes","yes_if_comparable","upper/lower stratum preference or exploration"
"time_bright","LDT phototaxis","LDT","bounded continuous","yes","yes","yes_if_comparable","bright compartment time; raw time or proportion must be documented"
"first_choice_binary","LDT first choice","LDT","binary","yes_if_coding_valid","yes_if_feasible","yes_if_comparable","bright/dark first choice; no-choice handling must be explicit"
"latency","LDT decision latency","LDT","continuous or censored","yes","yes_if_justified","yes_if_comparable","latency to first choice; check no-choice and zero behavior"
"mtpc","LDT transition behavior","LDT","continuous derived","yes","yes_if_justified","yes_if_comparable","mean time per choice or entry; derived from LDT variables"
"num_changes","LDT transition behavior","LDT","count","yes","yes_if_justified","yes_if_comparable","compartment changes; inspect count assumptions if modeled"
"resistance_index","endurance","RN","continuous derived","yes","yes","BT1_vs_BT3_if_comparable","validated manuscript endurance variable"
"attempts","endurance","RN","count","yes","yes_if_justified","BT1_vs_BT3_if_comparable","number of resistance attempts"
"last_flux","endurance","RN","ordinal/step","no_by_default","yes_if_justified","BT1_vs_BT3_if_comparable","supportive endurance endpoint, not part of the fixed PCA set unless revised"
"time_in_last_flux","endurance","RN","bounded continuous","no_by_default","yes_if_justified","BT1_vs_BT3_if_comparable","supportive endurance endpoint, not part of the fixed PCA set unless revised"
"blood_sugar","physiology","post-test physiology","continuous","yes_if_retention_acceptable","optional_supportive","if_comparable","supportive physiological endpoint; report PCA retained N"
"condition_factor_K","biometry/condition","biometry","continuous derived","yes_if_valid","usually_no","usually_no","condition factor (K); accept Kc/Kf/condition_factor if formula and range pass audit"
"weight","biometry/QC","biometry","continuous","no_by_default","covariate_or_QC","no","used for QC and condition factor calculation"
"length","biometry/QC","biometry","continuous","no_by_default","covariate_or_QC","no","used for QC and condition factor calculation"
"sex","biometry/QC","biometry","categorical","no_by_default","covariate_or_QC","no","used for descriptive or exploratory checks only if sample size supports it"
"fish_id","metadata/design","metadata","identifier","no","no","no","identifier, never modeled as outcome or PCA variable"
"battery","metadata/design","metadata","design","no","no","no","battery grouping variable"
"treatment","metadata/design","metadata","design","no","no","no","experimental factor"
"exposure","metadata/design","metadata","design","no","no","no","experimental factor"
"datetime","metadata/design","metadata","datetime","no","no","no","batch/time audit variable"
