"variable","endpoint_model","data_type","diagnostics_needed"
"dist_total","yes","continuous","distribution, variance, outlier influence"
"mov_total","yes_if_justified","continuous derived","distribution, variance, outlier influence"
"vel_mean","yes_if_justified","continuous derived","distribution, variance, outlier influence"
"stratum_pref","yes","bounded/proportion-like","bounded range, distribution, variance"
"time_bright","yes","bounded continuous","bounded range, duration consistency, distribution"
"first_choice_binary","yes_if_feasible","binary","separation, no-choice handling, cell counts"
"latency","yes_if_justified","continuous or censored","zero/censoring, no-choice handling, distribution"
"mtpc","yes_if_justified","continuous derived","derived-variable audit, zero denominator handling"
"num_changes","yes_if_justified","count","overdispersion, zero inflation, cell counts"
"resistance_index","yes","continuous derived","derived-variable audit, distribution, outlier influence"
"attempts","yes_if_justified","count","overdispersion, zero inflation, cell counts"
"last_flux","yes_if_justified","ordinal/step","ordinal/step behavior, cell counts"
"time_in_last_flux","yes_if_justified","bounded continuous","bounded duration, cell counts"
"blood_sugar","optional_supportive","continuous","missingness, distribution, timing context"
"condition_factor_K","usually_no","continuous derived","formula/range audit, weight-length source check"
"weight","covariate_or_QC","continuous","range/QC only"
"length","covariate_or_QC","continuous","range/QC only"
"sex","covariate_or_QC","categorical","sample-size balance before exploratory use"
"fish_id","no","identifier","metadata/design only"
"battery","no","design","metadata/design only"
"treatment","no","design","metadata/design only"
"exposure","no","design","metadata/design only"
"datetime","no","datetime","metadata/design only"
