"layer","file_pattern","rule"
"wrangling","data_processed/battery_suite_1.csv","BT1 battery-level file from Python wrangling"
"wrangling","data_processed/battery_suite_2.csv","BT2 battery-level file from Python wrangling"
"wrangling","data_processed/battery_suite_3.csv","BT3 battery-level file from Python wrangling"
"audit","data_processed/bt1_audited.csv","Notebook 01 audited BT1 dataset"
"audit","data_processed/bt2_audited.csv","Notebook 01 audited BT2 dataset"
"audit","data_processed/bt3_audited.csv","Notebook 01 audited BT3 dataset"
"audit","outputs/logs/01_qc_*.csv","Notebook 01 QC logs and summaries"
"registry","outputs/logs/02_*.csv","Notebook 02 endpoint registry and model-readiness outputs"
"models","outputs/models/03_*.csv","Notebook 03 endpoint-model outputs"
"battery","outputs/models/04_*.csv","Notebook 04 battery-comparison outputs"
"pca","outputs/models/05_*.csv and outputs/figures/05_*.png","Notebook 05 PCA outputs and figures"
"robustness","outputs/models/06_*.csv","Notebook 06 concordance, robustness, and stability outputs"
"reporting","outputs/tables/07_*.csv and outputs/figures/07_*.png","Notebook 07 manuscript-ready artifacts"
