"item","status","note"
"endpoint_registry_resolved",TRUE,"Endpoint roles, availability, and resolved variable names recorded."
"descriptive_statistics_created",TRUE,"Descriptive statistics exported by battery, treatment, and exposure."
"normality_diagnostics_created",TRUE,"Normality diagnostics exported where meaningful."
"variance_diagnostics_created",TRUE,"Variance ratio diagnostics exported."
"zero_inflation_audit_created",TRUE,"Zero inflation screening exported."
"count_overdispersion_audit_created",TRUE,"Count-like endpoint screening exported."
"binary_separation_audit_created",TRUE,"First-choice binary feasibility exported."
"model_decision_matrix_created",TRUE,"Model-family planning exported."
"pca_readiness_created",TRUE,"Single full-battery PCA readiness exported."
"condition_factor_readiness_created",TRUE,"Condition factor alias availability exported for later formula/range audit."
"primary_secondary_hierarchy_used",FALSE,"This project uses endpoint roles, not primary/secondary hierarchy."
