"item","status","note"
"Wrangled battery files loaded",TRUE,"BT1, BT2, and BT3 were loaded from data_processed."
"Battery identity checked",TRUE,"Battery identity was checked using file label, battery column, and presence flags where available."
"Schema and endpoint availability checked",TRUE,"Column presence and endpoint-registry availability were checked across batteries."
"Fish-ID integrity checked",TRUE,"Within-battery duplication and cross-battery fish-ID overlap were audited."
"Treatment by exposure cells counted",TRUE,"Cell sizes are available for downstream model-feasibility checks."
"Datetime audit exported",TRUE,"Datetime is treated as audit metadata, not as an inferential covariate here."
"Missingness audit exported",TRUE,"Missingness is documented, not automatically treated as exclusion."
"Range and duration audits exported",TRUE,"Duration and impossible-value issues are flagged for later sensitivity decisions."
"Derived-variable audit exported",TRUE,"Derived variables are checked diagnostically only."
"Condition factor audited",TRUE,"Kc/Kf/condition-factor consistency is checked before PCA use."
"QC flag summary exported",TRUE,"Manual-review and other flags are summarized for downstream decisions."
"Wrangling logs inspected",TRUE,"Wrangling logs are inspected if present."
"Audited datasets saved",TRUE,"Audited datasets are written to data_processed for Notebook 02."
"Inferential statistics performed",FALSE,"No inferential statistics are run in Notebook 01."
