"analysis_layer","rule","downstream_notebook"
"endpoint_models","Use treatment x exposure models for model-tested endpoints when assumptions and data structure allow.","03"
"binary_endpoint","Model first_choice_binary only if coding and separation diagnostics support it; otherwise summarize descriptively or use exact/Firth-type strategy.","03"
"count_endpoints","Inspect overdispersion before selecting count models for num_changes, attempts, or related endpoints.","02/03"
"bounded_or_proportion_like_endpoints","Document whether raw bounded time or proportion is used; do not switch silently.","02/03"
"battery_comparison","Compare only endpoints with comparable protocol meaning across battery contexts, within treatment x exposure cells.","04"
"equivalence","Do not claim equivalence without a predefined SESOI and formal equivalence analysis.","04"
"PCA","Run one full-battery PCA with the agreed endpoint set; center and scale variables; interpret axes from loadings.","05"
"PCA_scores","PC-score models or summaries are exploratory annotations of PCA space and do not replace endpoint models.","05/06"
"condition_factor","Treat Kc, Kf, and condition_factor as condition factor (K) if formula and units are sound.","01/05/06"
"multiple_testing","Apply BH-FDR within declared output families where multiple tests are interpreted together.","03/04/05"
"interpretation","Interpret narrowly by endpoint, domain, and model; avoid primary/secondary wording.","all"
